pc,n_label,skew_rate_label,kv_big_label,kp_label,alpha,n_samples
16,n<=32,sr<=40%,kvB<=4k,kp<=2k,0.3288,1
16,n<=32,sr<=40%,kvB<=4k,kp<=4k,-0.0445,2
16,n<=32,sr<=40%,kvB<=4k,kp<=512,-0.3167,2
16,n<=32,sr<=40%,kvB<=4k,kp<=8k,-0.0318,1
16,n<=32,sr<=40%,kvB<=4k,kp=0,0.4079,2
16,n<=32,sr<=5%,kvB<=16k,kp<=1k,-0.1105,2
16,n<=32,sr<=5%,kvB<=16k,kp<=2k,-0.1354,2
16,n<=32,sr<=5%,kvB<=16k,kp<=4k,0.0031,2
16,n<=32,sr<=5%,kvB<=16k,kp<=512,-0.0432,2
16,n<=32,sr<=5%,kvB<=16k,kp<=8k,-0.0354,2
16,n<=32,sr<=5%,kvB<=16k,kp=0,0.2777,2
16,n<=32,sr<=5%,kvB<=1k,kp<=1k,-0.0595,2
16,n<=32,sr<=5%,kvB<=1k,kp<=2k,-0.0556,2
16,n<=32,sr<=5%,kvB<=1k,kp<=4k,-0.0543,2
16,n<=32,sr<=5%,kvB<=1k,kp<=512,0.1301,1
16,n<=32,sr<=5%,kvB<=1k,kp<=8k,0.1119,2
16,n<=32,sr<=5%,kvB<=1k,kp=0,0.4981,2
16,n<=32,sr<=5%,kvB<=4k,kp<=1k,-0.0255,2
16,n<=32,sr<=5%,kvB<=4k,kp<=2k,-0.0223,2
16,n<=32,sr<=5%,kvB<=4k,kp<=4k,0.0041,2
16,n<=32,sr<=5%,kvB<=4k,kp<=512,-0.0536,2
16,n<=32,sr<=5%,kvB<=4k,kp<=8k,-0.0224,2
16,n<=32,sr<=5%,kvB<=4k,kp=0,0.322,2
16,n<=32,sr<=70%,kvB<=16k,kp<=1k,-0.2651,2
16,n<=32,sr<=70%,kvB<=16k,kp<=2k,-0.2355,2
16,n<=32,sr<=70%,kvB<=16k,kp<=4k,-0.1629,2
16,n<=32,sr<=70%,kvB<=16k,kp<=512,-0.3185,2
16,n<=32,sr<=70%,kvB<=16k,kp<=8k,-0.2494,1
16,n<=32,sr<=70%,kvB<=16k,kp=0,0.0546,2
16,n<=32,sr<=70%,kvB<=1k,kp<=1k,-0.4316,2
16,n<=32,sr<=70%,kvB<=1k,kp<=2k,-0.1471,1
16,n<=32,sr<=70%,kvB<=1k,kp<=4k,-0.4687,2
16,n<=32,sr<=70%,kvB<=1k,kp<=512,1.5258,2
16,n<=32,sr<=70%,kvB<=1k,kp<=8k,-0.057,2
16,n<=32,sr<=70%,kvB<=1k,kp=0,0.2153,2
16,n<=32,sr<=70%,kvB<=4k,kp<=1k,-0.1699,2
16,n<=32,sr<=70%,kvB<=4k,kp<=2k,0.3602,1
16,n<=32,sr<=70%,kvB<=4k,kp<=4k,-0.0166,1
16,n<=32,sr<=70%,kvB<=4k,kp<=512,-0.032,2
16,n<=32,sr<=70%,kvB<=4k,kp<=8k,0.1315,1
16,n<=32,sr<=70%,kvB<=4k,kp=0,0.0403,2
16,n<=32,sr>70%,kvB<=16k,kp<=1k,-0.6827,4
16,n<=32,sr>70%,kvB<=16k,kp<=2k,-1.089,4
16,n<=32,sr>70%,kvB<=16k,kp<=4k,-0.4641,4
16,n<=32,sr>70%,kvB<=16k,kp<=512,0.0891,4
16,n<=32,sr>70%,kvB<=16k,kp<=8k,-0.9833,4
16,n<=32,sr>70%,kvB<=16k,kp=0,1.9832,4
16,n<=32,sr>70%,kvB<=1k,kp<=1k,-0.0446,1
16,n<=32,sr>70%,kvB<=1k,kp<=2k,-3.897,3
16,n<=32,sr>70%,kvB<=1k,kp<=4k,-0.0746,2
16,n<=32,sr>70%,kvB<=1k,kp<=512,10.1201,2
16,n<=32,sr>70%,kvB<=1k,kp<=8k,-0.2722,3
16,n<=32,sr>70%,kvB<=1k,kp=0,2.3841,2
16,n<=32,sr>70%,kvB<=4k,kp<=1k,0.2064,4
16,n<=32,sr>70%,kvB<=4k,kp<=2k,-1.4662,3
16,n<=32,sr>70%,kvB<=4k,kp<=4k,0.4157,4
16,n<=32,sr>70%,kvB<=4k,kp<=512,-1.9332,4
16,n<=32,sr>70%,kvB<=4k,kp<=8k,-1.7633,2
16,n<=32,sr>70%,kvB<=4k,kp=0,2.2211,4
16,n<=4,sr<=40%,kvB<=16k,kp<=1k,0.9603,2
16,n<=4,sr<=40%,kvB<=16k,kp<=2k,0.7764,2
16,n<=4,sr<=40%,kvB<=16k,kp<=4k,0.6451,2
16,n<=4,sr<=40%,kvB<=16k,kp<=512,0.9043,2
16,n<=4,sr<=40%,kvB<=16k,kp<=8k,0.2428,2
16,n<=4,sr<=40%,kvB<=16k,kp=0,0.9342,2
16,n<=4,sr<=40%,kvB<=1k,kp<=1k,-0.7389,1
16,n<=4,sr<=40%,kvB<=1k,kp<=2k,-0.1493,2
16,n<=4,sr<=40%,kvB<=1k,kp<=512,-4.3516,1
16,n<=4,sr<=40%,kvB<=1k,kp<=8k,12.2766,1
16,n<=4,sr<=40%,kvB<=1k,kp=0,0.5891,5
16,n<=4,sr<=40%,kvB<=4k,kp<=1k,0.0053,2
16,n<=4,sr<=40%,kvB<=4k,kp<=2k,-0.2249,1
16,n<=4,sr<=40%,kvB<=4k,kp<=4k,11.5758,1
16,n<=4,sr<=40%,kvB<=4k,kp<=512,0.3175,1
16,n<=4,sr<=40%,kvB<=4k,kp<=8k,-5.0541,1
16,n<=4,sr<=40%,kvB<=4k,kp=0,0.3521,3
16,n<=4,sr<=70%,kvB<=16k,kp<=1k,0.8619,2
16,n<=4,sr<=70%,kvB<=16k,kp<=2k,0.8626,2
16,n<=4,sr<=70%,kvB<=16k,kp<=4k,0.7459,2
16,n<=4,sr<=70%,kvB<=16k,kp<=512,0.9406,2
16,n<=4,sr<=70%,kvB<=16k,kp<=8k,0.6817,2
16,n<=4,sr<=70%,kvB<=16k,kp=0,0.8772,2
16,n<=4,sr<=70%,kvB<=1k,kp<=4k,0.3634,2
16,n<=4,sr<=70%,kvB<=1k,kp<=512,-0.1815,2
16,n<=4,sr<=70%,kvB<=1k,kp<=8k,-0.1654,1
16,n<=4,sr<=70%,kvB<=1k,kp=0,0.7025,4
16,n<=4,sr<=70%,kvB<=4k,kp<=2k,-0.4069,1
16,n<=4,sr<=70%,kvB<=4k,kp<=512,0.4181,1
16,n<=4,sr<=70%,kvB<=4k,kp<=8k,0.16,2
16,n<=4,sr<=70%,kvB<=4k,kp=0,0.2587,2
16,n<=4,sr>70%,kvB<=16k,kp<=1k,1.2124,2
16,n<=4,sr>70%,kvB<=16k,kp<=2k,0.9617,2
16,n<=4,sr>70%,kvB<=16k,kp<=4k,0.6971,2
